#=====================================================
# iance$|noun|iant$|adj|2013|ORG_RULE|CHILD
# Total count: 34
#=====================================================
desensibilise|verb|E0574017|desensibilization|noun|E0574016|yes
racemise|verb|E0051721|racemization|noun|E0051720|yes
miniaturise|verb|E0040369|miniaturization|noun|E0040368|yes
fetishise|verb|E0538683|fetishization|noun|E0585824|yes
prenormalise|verb|E0729072|prenormalization|noun|E0729071|yes
hetero-oligomerise|verb|E0565217|hetero-oligomerization|noun|E0565216|yes
saucerise|verb|E0068167|saucerization|noun|E0068166|yes
axiomatise|verb|E0538916|axiomatization|noun|E0538917|yes
anteriorise|verb|E0332530|anteriorization|noun|E0232091|yes
haemolyse|verb|E0031229|haemolyzation|noun|E0031228|yes
phonemicise|verb|E0585617|phonemicization|noun|E0585616|yes
protocolise|verb|E0231987|protocolization|noun|E0231988|yes
computerise|verb|E0018245|computerization|noun|E0018244|yes
cannulise|verb|E0014965|cannulization|noun|E0014964|yes
institutionise|verb|E0538901|institutionization|noun|E0538902|yes
parochialise|verb|E0540299|parochialization|noun|E0540300|yes
pre-cyclise|verb|E0619286|pre-cyclization|noun|E0619285|yes
skeletise|verb|E0535091|skeletization|noun|E0535090|yes
de-epithelialise|verb|E0333517|de-epithelialization|noun|E0425567|yes
demobilise|verb|E0021492|demobilization|noun|E0021491|yes
synchronise|verb|E0059569|synchronization|noun|E0059568|yes
subcompartmentalise|verb|E0332062|subcompartmentalization|noun|E0332061|yes
magnetise|verb|E0038580|magnetization|noun|E0038579|yes
micronise|verb|E0040131|micronization|noun|E0040130|yes
vocalise|verb|E0064833|vocalization|noun|E0064832|yes
reneutralise|verb|E0606572|reneutralization|noun|E0606571|yes
self fertilise|verb|E0433390|self fertilization|noun|E0055086|yes
acclimatise|verb|E0006732|acclimatization|noun|E0006731|yes
devitalise|verb|E0022182|devitalization|noun|E0022181|yes
cyclo-aromatise|verb|E0731655|cyclo-aromatization|noun|E0656817|yes
nodulise|verb|E0349749|nodulization|noun|E0349750|yes
familiarise|verb|E0027281|familiarization|noun|E0027280|yes
dextrinise|verb|E0022210|dextrinization|noun|E0588291|yes
re-sensitise|verb|E0338485|re-sensitization|noun|E0338484|yes
constitutionalise|verb|E0018660|constitutionalization|noun|E0585583|yes
optimalise|verb|E0235791|optimalization|noun|E0235792|yes
chemo-sensitise|verb|E0333129|chemo-sensitization|noun|E0333128|yes
thrombotise|verb|E0577646|thrombotization|noun|E0577647|yes
tectonise|verb|E0349651|tectonization|noun|E0349652|yes
hyalinise|verb|E0216226|hyalinization|noun|E0216224|yes
concretise|verb|E0235794|concretization|noun|E0235795|yes
röntgenise|verb|E0585635|röntgenization|noun|E0585634|yes
recatheterise|verb|E0218314|recatheterization|noun|E0312320|yes
silverise|verb|E0540199|silverization|noun|E0540202|yes
cristalise|verb|E0020032|cristalization|noun|E0020031|yes
re-standardise|verb|E0227027|re-standardization|noun|E0227028|yes
dolomitise|verb|E0538906|dolomitization|noun|E0538907|yes
cocrystallise|verb|E0333297|cocrystallization|noun|E0333298|yes
desocialise|verb|E0538910|desocialization|noun|E0538911|yes
fertilise|verb|E0027636|fertilization|noun|E0027634|yes
decolorise|verb|E0021067|decolorization|noun|E0021066|yes
terrorise|verb|E0060334|terrorization|noun|E0588276|yes
spiritualise|verb|E0057225|spiritualization|noun|E0057224|yes
verticalise|verb|E0574046|verticalization|noun|E0574045|yes
supersensitise|verb|E0235793|supersensitization|noun|E0318149|yes
pre-immunise|verb|E0312229|pre-immunization|noun|E0312230|yes
compartmentise|verb|E0540140|compartmentization|noun|E0540143|yes
naturalise|verb|E0041991|naturalization|noun|E0041990|yes
morphinise|verb|E0041012|morphinization|noun|E0041011|yes
politzerise|verb|E0067980|politzerization|noun|E0067979|yes
hydrophobise|verb|E0563355|hydrophobization|noun|E0563357|yes
de-epidermise|verb|E0568525|de-epidermization|noun|E0568526|yes
denormalise|verb|E0728925|denormalization|noun|E0728924|yes
heroise|verb|E0585623|heroization|noun|E0585622|yes
radiolocalise|verb|E0417914|radiolocalization|noun|E0318326|yes
solemnise|verb|E0056636|solemnization|noun|E0056635|yes
defeminise|verb|E0425571|defeminization|noun|E0425572|yes
pressurise|verb|E0318276|pressurization|noun|E0218411|yes
over-generalise|verb|E0222728|over-generalization|noun|E0222727|yes
deplasticise|verb|E0605215|deplasticization|noun|E0605216|yes
narcotise|verb|E0041888|narcotization|noun|E0232105|yes
criminalise|verb|E0019753|criminalization|noun|E0019752|yes
spheroidise|verb|E0539521|spheroidization|noun|E0539522|yes
commoditise|verb|E0538914|commoditization|noun|E0538915|yes
lactonise|verb|E0335528|lactonization|noun|E0318034|yes
hypermineralise|verb|E0538635|hypermineralization|noun|E0032737|yes
syntonise|verb|E0538937|syntonization|noun|E0538938|yes
deseasonalise|verb|E0231966|deseasonalization|noun|E0231967|yes
self-fertilise|verb|E0433390|self-fertilization|noun|E0055086|yes
hepatectomise|verb|E0031296|hepatectomization|noun|E0031295|yes
decapsulise|verb|E0734016|decapsulization|noun|E0734015|yes
banalise|verb|E0540878|banalization|noun|E0540879|yes
regionalise|verb|E0417663|regionalization|noun|E0417662|yes
recategorise|verb|E0338526|recategorization|noun|E0338527|yes
dialyse|verb|E0022300|dialyzation|noun|E0233615|yes
Romanise|verb|E0586341|Romanization|noun|E0586340|yes
preconise|verb|E0232038|preconization|noun|E0585822|yes
remineralise|verb|E0052679|remineralization|noun|E0052678|yes
subneutralise|verb|E0726867|subneutralization|noun|E0726868|yes
demilitarise|verb|E0021485|demilitarization|noun|E0021484|yes
undermineralise|verb|E0734485|undermineralization|noun|E0574241|yes
preacclimatise|verb|E0613487|preacclimatization|noun|E0613486|yes
electropolymerise|verb|E0568530|electropolymerization|noun|E0568531|yes
decolourise|verb|E0021067|decolourization|noun|E0021066|yes
photo-ionise|verb|E0500353|photo-ionization|noun|E0047581|yes
ruralise|verb|E0585633|ruralization|noun|E0321937|yes
volatilise|verb|E0064857|volatilization|noun|E0064856|yes
capitalise|verb|E0015028|capitalization|noun|E0015027|yes
diploidise|verb|E0540876|diploidization|noun|E0540877|yes
re-arterialise|verb|E0338567|re-arterialization|noun|E0338568|yes
remilitarise|verb|E0052676|remilitarization|noun|E0052675|yes
rationalise|verb|E0052034|rationalization|noun|E0052033|yes
depancreatise|verb|E0021799|depancreatization|noun|E0585646|yes
reorganise|verb|E0052780|reorganization|noun|E0052779|yes
macrocyclise|verb|E0572038|macrocyclization|noun|E0572037|yes
focalise|verb|E0415946|focalization|noun|E0415947|yes
multicolonise|verb|E0726150|multicolonization|noun|E0615543|yes
factorise|verb|E0027152|factorization|noun|E0232100|yes
orientalise|verb|E0539843|orientalization|noun|E0539844|yes
tubulise|verb|E0568572|tubulization|noun|E0062530|yes
self-organise|verb|E0530047|self-organization|noun|E0530048|yes
hyperpolarise|verb|E0032783|hyperpolarization|noun|E0032782|yes
resynchronise|verb|E0233608|resynchronization|noun|E0233607|yes
westernise|verb|E0065255|westernization|noun|E0065254|yes
sham immunise|verb|E0568322|sham immunization|noun|E0568323|yes
de-endothelise|verb|E0568699|de-endothelization|noun|E0568700|yes
estrogenise|verb|E0026221|estrogenization|noun|E0026220|yes
decimalise|verb|E0537824|decimalization|noun|E0537823|yes
multi-colonise|verb|E0726150|multi-colonization|noun|E0615543|yes
metabolise|verb|E0039794|metabolization|noun|E0039793|yes
vapourise|verb|E0064002|vapourization|noun|E0064001|yes
haemoglobinise|verb|E0528278|haemoglobinization|noun|E0528280|yes
undervirilise|verb|E0734486|undervirilization|noun|E0224268|yes
insulinise|verb|E0514130|insulinization|noun|E0514129|yes
scrutinise|verb|E0054809|scrutinization|noun|E0318329|yes
tenderise|verb|E0538741|tenderization|noun|E0562934|yes
symmetrise|verb|E0232010|symmetrization|noun|E0232011|yes
rehumanise|verb|E0363223|rehumanization|noun|E0363222|yes
valorise|verb|E0227678|valorization|noun|E0227679|yes
romanticise|verb|E0053768|romanticization|noun|E0318327|yes
avianise|verb|E0011420|avianization|noun|E0011419|yes
aromatise|verb|E0417574|aromatization|noun|E0318089|yes
blenderise|verb|E0727452|blenderization|noun|E0727453|yes
melanise|verb|E0416078|melanization|noun|E0218407|yes
methanise|verb|E0540887|methanization|noun|E0540888|yes
de-institutionalise|verb|E0021331|de-institutionalization|noun|E0021330|yes
nesslerise|verb|E0042308|nesslerization|noun|E0042307|yes
immunoneutralise|verb|E0417655|immunoneutralization|noun|E0417654|yes
microcomputerise|verb|E0416089|microcomputerization|noun|E0416090|yes
authorise|verb|E0011262|authorization|noun|E0011261|yes
digitise|verb|E0022728|digitization|noun|E0218591|yes
phonologise|verb|E0538983|phonologization|noun|E0538984|yes
dynamise|verb|E0024175|dynamization|noun|E0024174|yes
deserosalise|verb|E0726917|deserosalization|noun|E0726918|yes
thyroidectomise|verb|E0060951|thyroidectomization|noun|E0585724|yes
expertise|verb|E0540865|expertization|noun|E0540866|yes
hirudinise|verb|E0031714|hirudinization|noun|E0031713|yes
bacterise|verb|E0540103|bacterization|noun|E0540104|yes
pyritise|verb|E0541058|pyritization|noun|E0541059|yes
nationalise|verb|E0041971|nationalization|noun|E0041970|yes
deepidermise|verb|E0568525|deepidermization|noun|E0568526|yes
pre-hyperpolarise|verb|E0619224|pre-hyperpolarization|noun|E0619223|yes
over-organise|verb|E0588360|over-organization|noun|E0588361|yes
materialise|verb|E0039067|materialization|noun|E0039066|yes
bituminise|verb|E0586824|bituminization|noun|E0586825|yes
cranialise|verb|E0574011|cranialization|noun|E0574010|yes
re-contextualise|verb|E0538553|re-contextualization|noun|E0538554|yes
emotionalise|verb|E0540314|emotionalization|noun|E0540315|yes
kocherise|verb|E0690400|kocherization|noun|E0690399|yes
glamorise|verb|E0029804|glamorization|noun|E0029803|yes
minimise|verb|E0040382|minimization|noun|E0218408|yes
reinternalise|verb|E0338467|reinternalization|noun|E0338466|yes
hypostatise|verb|E0540309|hypostatization|noun|E0540310|yes
residualise|verb|E0338483|residualization|noun|E0232112|yes
proletarianise|verb|E0538551|proletarianization|noun|E0538552|yes
trivialise|verb|E0062275|trivialization|noun|E0562993|yes
rematerialise|verb|E0363287|rematerialization|noun|E0363286|yes
informalise|verb|E0585580|informalization|noun|E0585579|yes
cross-immunise|verb|E0588626|cross-immunization|noun|E0588625|yes
hyperluteinise|verb|E0032730|hyperluteinization|noun|E0032729|yes
equalise|verb|E0025923|equalization|noun|E0025922|yes
vaporise|verb|E0064002|vaporization|noun|E0064001|yes
sentimentalise|verb|E0055263|sentimentalization|noun|E0055262|yes
conise|verb|E0735743|conization|noun|E0066721|yes
discretise|verb|E0333982|discretization|noun|E0232097|yes
categorise|verb|E0015587|categorization|noun|E0015586|yes
Bowdlerise|verb|E0013858|Bowdlerization|noun|E0585630|yes
recrystallise|verb|E0312340|recrystallization|noun|E0312341|yes
kaolinise|verb|E0586423|kaolinization|noun|E0586424|yes
podzolise|verb|E0538876|podzolization|noun|E0538877|yes
cosolubilise|verb|E0333388|cosolubilization|noun|E0333389|yes
martyrise|verb|E0538992|martyrization|noun|E0538993|yes
microcrystallise|verb|E0734456|microcrystallization|noun|E0318268|yes
arterialise|verb|E0010484|arterialization|noun|E0010483|yes
uniformise|verb|E0538926|uniformization|noun|E0538927|yes
pre-sensitise|verb|E0312248|pre-sensitization|noun|E0312249|yes
mislocalise|verb|E0334787|mislocalization|noun|E0334788|yes
chemoembolise|verb|E0728988|chemoembolization|noun|E0417718|yes
epoxidise|verb|E0415919|epoxidization|noun|E0415920|yes
sensitise|verb|E0055229|sensitization|noun|E0055228|yes
indigenise|verb|E0538583|indigenization|noun|E0538584|yes
resocialise|verb|E0318116|resocialization|noun|E0318115|yes
renormalise|verb|E0227673|renormalization|noun|E0227674|yes
amortise|verb|E0008623|amortization|noun|E0008622|yes
Indianise|verb|E0585627|Indianization|noun|E0585626|yes
bastardise|verb|E0012108|bastardization|noun|E0573487|yes
metropolitanise|verb|E0541036|metropolitanization|noun|E0585628|yes
decellularise|verb|E0503774|decellularization|noun|E0503775|yes
modelise|verb|E0229297|modelization|noun|E0229298|yes
permeabilise|verb|E0218329|permeabilization|noun|E0218330|yes
formalinise|verb|E0415951|formalinization|noun|E0415952|yes
prelocalise|verb|E0588490|prelocalization|noun|E0049705|yes
re-mobilise|verb|E0204992|re-mobilization|noun|E0204987|yes
mimetise|verb|E0337223|mimetization|noun|E0723637|yes
malignise|verb|E0417911|malignization|noun|E0417910|yes
desulphurise|verb|E0223291|desulphurization|noun|E0223290|yes
demoralise|verb|E0021524|demoralization|noun|E0021523|yes
preorganise|verb|E0235604|preorganization|noun|E0235603|yes
intraperitonealise|verb|E0610589|intraperitonealization|noun|E0610588|yes
racialise|verb|E0232036|racialization|noun|E0232037|yes
singularise|verb|E0056037|singularization|noun|E0056036|yes
syphilise|verb|E0540284|syphilization|noun|E0540285|yes
mythicise|verb|E0540301|mythicization|noun|E0540302|yes
fibrovascularise|verb|E0732642|fibrovascularization|noun|E0568478|yes
reepithelialise|verb|E0338547|reepithelialization|noun|E0417672|yes
detubularise|verb|E0226787|detubularization|noun|E0226788|yes
pre-crystallise|verb|E0622092|pre-crystallization|noun|E0622091|yes
deoxidise|verb|E0021756|deoxidization|noun|E0588290|yes
catheterise|verb|E0015607|catheterization|noun|E0015606|yes
robotise|verb|E0232056|robotization|noun|E0232057|yes
fraternise|verb|E0028753|fraternization|noun|E0028752|yes
isotonise|verb|E0232041|isotonization|noun|E0232042|yes
annualise|verb|E0332521|annualization|noun|E0572459|yes
utilise|verb|E0063794|utilization|noun|E0063793|yes
subcategorise|verb|E0318186|subcategorization|noun|E0318185|yes
pre-trypsinise|verb|E0613381|pre-trypsinization|noun|E0613380|yes
prepressurise|verb|E0621888|prepressurization|noun|E0621887|yes
ultra-pasteurise|verb|E0735601|ultra-pasteurization|noun|E0620365|yes
glamourise|verb|E0029804|glamourization|noun|E0029803|yes
co-immobilise|verb|E0333306|co-immobilization|noun|E0333307|yes
destabilise|verb|E0022081|destabilization|noun|E0022080|yes
hypophysectomise|verb|E0033036|hypophysectomization|noun|E0585624|yes
maximise|verb|E0039138|maximization|noun|E0039137|yes
politicalise|verb|E0540221|politicalization|noun|E0540222|yes
diagonalise|verb|E0538871|diagonalization|noun|E0538872|yes
sterilise|verb|E0057864|sterilization|noun|E0057863|yes
subsidise|verb|E0058673|subsidization|noun|E0058672|yes
autosensitise|verb|E0423181|autosensitization|noun|E0423182|yes
morselise|verb|E0503606|morselization|noun|E0507771|yes
copolymerise|verb|E0417782|copolymerization|noun|E0417781|yes
parasitise|verb|E0045619|parasitization|noun|E0045618|yes
oestrogenise|verb|E0026221|oestrogenization|noun|E0026220|yes
Europeanise|verb|E0539004|Europeanization|noun|E0539005|yes
micellise|verb|E0333808|micellization|noun|E0318172|yes
epidermise|verb|E0568528|epidermization|noun|E0025750|yes
fibro-vascularise|verb|E0732642|fibro-vascularization|noun|E0568478|yes
medicalise|verb|E0333779|medicalization|noun|E0333777|yes
universalise|verb|E0063254|universalization|noun|E0063253|yes
iodise|verb|E0035796|iodization|noun|E0232102|yes
itemise|verb|E0036112|itemization|noun|E0563115|yes
deglamorise|verb|E0586342|deglamorization|noun|E0586343|yes
deparaffinise|verb|E0333569|deparaffinization|noun|E0232096|yes
quaternise|verb|E0338654|quaternization|noun|E0232111|yes
polymerise|verb|E0048771|polymerization|noun|E0048770|yes
demagnetise|verb|E0021446|demagnetization|noun|E0021445|yes
cycloisomerise|verb|E0573262|cycloisomerization|noun|E0573263|yes
tunnelise|verb|E0574230|tunnelization|noun|E0574229|yes
linearise|verb|E0037606|linearization|noun|E0037605|yes
allo-sensitise|verb|E0579339|allo-sensitization|noun|E0318063|yes
extraperitonealise|verb|E0729081|extraperitonealization|noun|E0026998|yes
romanise|verb|E0586341|romanization|noun|E0586340|yes
aldolise|verb|E0540322|aldolization|noun|E0540323|yes
glycerolise|verb|E0030014|glycerolization|noun|E0585642|yes
ruggedise|verb|E0539525|ruggedization|noun|E0539526|yes
channelise|verb|E0232022|channelization|noun|E0563000|yes
sulphatise|verb|E0540292|sulphatization|noun|E0540293|yes
medialise|verb|E0336926|medialization|noun|E0336925|yes
reenergise|verb|E0363142|reenergization|noun|E0363141|yes
subspecialise|verb|E0312603|subspecialization|noun|E0312604|yes
sensibilise|verb|E0312539|sensibilization|noun|E0055220|yes
anglicise|verb|E0009054|anglicization|noun|E0009053|yes
silanise|verb|E0565990|silanization|noun|E0565991|yes
ideologise|verb|E0585925|ideologization|noun|E0585926|yes
satirise|verb|E0054395|satirization|noun|E0054394|yes
post-polymerise|verb|E0614136|post-polymerization|noun|E0612938|yes
catastrophise|verb|E0235788|catastrophization|noun|E0235789|yes
electrovaporise|verb|E0233589|electrovaporization|noun|E0233588|yes
re-hospitalise|verb|E0312371|re-hospitalization|noun|E0312372|yes
endothelialise|verb|E0025327|endothelialization|noun|E0025326|yes
re-cauterise|verb|E0694234|re-cauterization|noun|E0694235|yes
dogmatise|verb|E0023692|dogmatization|noun|E0023691|yes
temporalise|verb|E0359320|temporalization|noun|E0585960|yes
re-vascularise|verb|E0312519|re-vascularization|noun|E0053313|yes
carburise|verb|E0538791|carburization|noun|E0538792|yes
microminiaturise|verb|E0734460|microminiaturization|noun|E0574460|yes
particularise|verb|E0045834|particularization|noun|E0045833|yes
immortalise|verb|E0033532|immortalization|noun|E0033531|yes
recentralise|verb|E0363043|recentralization|noun|E0363042|yes
acetylise|verb|E0218294|acetylization|noun|E0006835|yes
dehumanise|verb|E0021298|dehumanization|noun|E0021297|yes
non-neutralise|verb|E0726870|non-neutralization|noun|E0726871|yes
Africanise|verb|E0232027|Africanization|noun|E0232028|yes
electro-polymerise|verb|E0568530|electro-polymerization|noun|E0568531|yes
skeletonise|verb|E0318245|skeletonization|noun|E0318244|yes
mineralise|verb|E0040356|mineralization|noun|E0040355|yes
monopolise|verb|E0040881|monopolization|noun|E0040880|yes
euthanatise|verb|E0415928|euthanatization|noun|E0232098|yes
pre-pressurise|verb|E0621888|pre-pressurization|noun|E0621887|yes
fistulise|verb|E0334141|fistulization|noun|E0028017|yes
re-polymerise|verb|E0235069|re-polymerization|noun|E0235070|yes
subjectivise|verb|E0574124|subjectivization|noun|E0574123|yes
desensitise|verb|E0021998|desensitization|noun|E0021997|yes
overdramatise|verb|E0222694|overdramatization|noun|E0222695|yes
yarovise|verb|E0540190|yarovization|noun|E0724428|yes
reinstitutionalise|verb|E0363249|reinstitutionalization|noun|E0363248|yes
phoneticise|verb|E0540297|phoneticization|noun|E0540298|yes
homopolymerise|verb|E0227680|homopolymerization|noun|E0227681|yes
collectivise|verb|E0017837|collectivization|noun|E0017836|yes
euchromatise|verb|E0745896|euchromatization|noun|E0573424|yes
self-actualise|verb|E0227998|self-actualization|noun|E0227999|yes
fluoridise|verb|E0028285|fluoridization|noun|E0028284|yes
moisturise|verb|E0416124|moisturization|noun|E0232104|yes
visualise|verb|E0064752|visualization|noun|E0064751|yes
operationalise|verb|E0316882|operationalization|noun|E0316883|yes
luteinise|verb|E0038281|luteinization|noun|E0038280|yes
sexualise|verb|E0318331|sexualization|noun|E0318330|yes
trimerise|verb|E0331859|trimerization|noun|E0318043|yes
renationalise|verb|E0363303|renationalization|noun|E0363304|yes
allosensitise|verb|E0579339|allosensitization|noun|E0318063|yes
prefamiliarise|verb|E0622034|prefamiliarization|noun|E0622033|yes
neutralise|verb|E0042553|neutralization|noun|E0042552|yes
civilise|verb|E0017182|civilization|noun|E0017181|yes
denationalise|verb|E0021544|denationalization|noun|E0021543|yes
re-energise|verb|E0363142|re-energization|noun|E0363141|yes
vulgarise|verb|E0064943|vulgarization|noun|E0064942|yes
orthogonalise|verb|E0227668|orthogonalization|noun|E0227667|yes
edematise|verb|E0599005|edematization|noun|E0535437|yes
legitimise|verb|E0421357|legitimization|noun|E0421358|yes
revictimise|verb|E0538638|revictimization|noun|E0538637|yes
resterilise|verb|E0514079|resterilization|noun|E0514078|yes
hydrolyse|verb|E0032419|hydrolyzation|noun|E0221342|yes
back-isomerise|verb|E0740506|back-isomerization|noun|E0740505|yes
moralise|verb|E0040970|moralization|noun|E0562959|yes
vandalise|verb|E0063980|vandalization|noun|E0585720|yes
decentralise|verb|E0021003|decentralization|noun|E0021002|yes
recircularise|verb|E0568608|recircularization|noun|E0568609|yes
self-ionise|verb|E0588797|self-ionization|noun|E0588796|yes
lyophilise|verb|E0038435|lyophilization|noun|E0400072|yes
unitise|verb|E0538823|unitization|noun|E0538824|yes
corporatise|verb|E0231995|corporatization|noun|E0231996|yes
pre-dimerise|verb|E0724798|pre-dimerization|noun|E0619324|yes
allegorise|verb|E0539015|allegorization|noun|E0539016|yes
antigenise|verb|E0422797|antigenization|noun|E0422798|yes
routinise|verb|E0360431|routinization|noun|E0360432|yes
traditionalise|verb|E0540277|traditionalization|noun|E0540280|yes
epithelialise|verb|E0025867|epithelialization|noun|E0025866|yes
compartmentalise|verb|E0018104|compartmentalization|noun|E0018103|yes
lypophilise|verb|E0416059|lypophilization|noun|E0416060|yes
peritonise|verb|E0046796|peritonization|noun|E0046795|yes
insolubilise|verb|E0416013|insolubilization|noun|E0416014|yes
proximalise|verb|E0235785|proximalization|noun|E0235786|yes
nitrogenise|verb|E0042695|nitrogenization|noun|E0042694|yes
activise|verb|E0232063|activization|noun|E0232064|yes
cancerise|verb|E0424188|cancerization|noun|E0424187|yes
hydridise|verb|E0569203|hydridization|noun|E0569204|yes
microembolise|verb|E0417812|microembolization|noun|E0417811|yes
oxygenise|verb|E0044888|oxygenization|noun|E0585640|yes
platinise|verb|E0232039|platinization|noun|E0232040|yes
cicatrise|verb|E0017006|cicatrization|noun|E0318158|yes
palladise|verb|E0540118|palladization|noun|E0540119|yes
vernacularise|verb|E0585576|vernacularization|noun|E0585575|yes
customise|verb|E0071777|customization|noun|E0318140|yes
labialise|verb|E0359333|labialization|noun|E0359334|yes
dealcoholise|verb|E0020897|dealcoholization|noun|E0020896|yes
delocalise|verb|E0021402|delocalization|noun|E0021401|yes
hyperparasitise|verb|E0561680|hyperparasitization|noun|E0561681|yes
mercurise|verb|E0540306|mercurization|noun|E0540307|yes
caramelise|verb|E0538467|caramelization|noun|E0538468|yes
monosensitise|verb|E0568325|monosensitization|noun|E0568326|yes
organise|verb|E0044165|organization|noun|E0044162|yes
lexicalise|verb|E0227664|lexicalization|noun|E0227663|yes
reactualise|verb|E0231985|reactualization|noun|E0231986|yes
heterocyclise|verb|E0536242|heterocyclization|noun|E0536241|yes
hemolyse|verb|E0031229|hemolyzation|noun|E0031228|yes
urbanise|verb|E0063509|urbanization|noun|E0063508|yes
specialise|verb|E0056935|specialization|noun|E0056934|yes
metaphorise|verb|E0538895|metaphorization|noun|E0538896|yes
synthetise|verb|E0312616|synthetization|noun|E0585712|yes
re-lysogenise|verb|E0570136|re-lysogenization|noun|E0570137|yes
socialise|verb|E0056513|socialization|noun|E0056512|yes
spheronise|verb|E0525502|spheronization|noun|E0525501|yes
galvanise|verb|E0029216|galvanization|noun|E0029215|yes
resensitise|verb|E0338485|resensitization|noun|E0338484|yes
communalise|verb|E0585876|communalization|noun|E0585875|yes
territorialise|verb|E0585723|territorialization|noun|E0585722|yes
conventionalise|verb|E0226841|conventionalization|noun|E0226842|yes
proletarise|verb|E0540219|proletarization|noun|E0540220|yes
parameterise|verb|E0318111|parameterization|noun|E0318110|yes
randomise|verb|E0218427|randomization|noun|E0051956|yes
virilise|verb|E0064682|virilization|noun|E0064681|yes
misutilise|verb|E0605953|misutilization|noun|E0605952|yes
velarise|verb|E0586545|velarization|noun|E0588419|yes
co-immunise|verb|E0511193|co-immunization|noun|E0511192|yes
missionise|verb|E0605508|missionization|noun|E0605507|yes
desterilise|verb|E0586335|desterilization|noun|E0586334|yes
nasalise|verb|E0041908|nasalization|noun|E0041907|yes
roentgenise|verb|E0585635|roentgenization|noun|E0585634|yes
tranquillise|verb|E0061685|tranquillization|noun|E0061684|yes
mechanise|verb|E0039206|mechanization|noun|E0039205|yes
politicise|verb|E0048648|politicization|noun|E0048647|yes
cyclo-trimerise|verb|E0656813|cyclo-trimerization|noun|E0656812|yes
immuno-localise|verb|E0417571|immuno-localization|noun|E0417570|yes
depoliticise|verb|E0318225|depoliticization|noun|E0318224|yes
literalise|verb|E0538996|literalization|noun|E0538997|yes
pre-lyophilise|verb|E0619151|pre-lyophilization|noun|E0619149|yes
commercialise|verb|E0018018|commercialization|noun|E0018017|yes
realise|verb|E0052111|realization|noun|E0052110|yes
preimmunise|verb|E0312229|preimmunization|noun|E0312230|yes
fluidise|verb|E0028257|fluidization|noun|E0028256|yes
motorise|verb|E0041098|motorization|noun|E0318322|yes
denicotinise|verb|E0231978|denicotinization|noun|E0231979|yes
predesensitise|verb|E0614748|predesensitization|noun|E0614749|yes
hemoglobinise|verb|E0528278|hemoglobinization|noun|E0528280|yes
posteriorise|verb|E0513009|posteriorization|noun|E0513008|yes
ischemise|verb|E0528364|ischemization|noun|E0528363|yes
post-optimise|verb|E0622380|post-optimization|noun|E0622379|yes
suboptimise|verb|E0616984|suboptimization|noun|E0616983|yes
homogenise|verb|E0031909|homogenization|noun|E0031908|yes
reutilise|verb|E0312515|reutilization|noun|E0312516|yes
decarbonise|verb|E0020978|decarbonization|noun|E0588280|yes
symbolise|verb|E0059496|symbolization|noun|E0059495|yes
peritonealise|verb|E0046779|peritonealization|noun|E0232107|yes
pseudonormalise|verb|E0050803|pseudonormalization|noun|E0050802|yes
chloridise|verb|E0585784|chloridization|noun|E0585785|yes
pretrypsinise|verb|E0613381|pretrypsinization|noun|E0613380|yes
exteriorise|verb|E0026874|exteriorization|noun|E0026873|yes
dematerialise|verb|E0540232|dematerialization|noun|E0588283|yes
recannulise|verb|E0737122|recannulization|noun|E0737123|yes
centrifugalise|verb|E0015888|centrifugalization|noun|E0015887|yes
sulfatise|verb|E0540292|sulfatization|noun|E0540293|yes
anti-plasticise|verb|E0614102|anti-plasticization|noun|E0614101|yes
reoptimise|verb|E0605964|reoptimization|noun|E0605965|yes
chemicalise|verb|E0539011|chemicalization|noun|E0539012|yes
desacralise|verb|E0540317|desacralization|noun|E0540318|yes
Hinduise|verb|E0538904|Hinduization|noun|E0538905|yes
desialyse|verb|E0574113|desialyzation|noun|E0574114|yes
repressurise|verb|E0363338|repressurization|noun|E0363339|yes
pluralise|verb|E0538555|pluralization|noun|E0538556|yes
nicotinise|verb|E0540061|nicotinization|noun|E0540063|yes
pulverise|verb|E0051160|pulverization|noun|E0051159|yes
colonise|verb|E0017890|colonization|noun|E0017889|yes
majorise|verb|E0538994|majorization|noun|E0538995|yes
prepasteurise|verb|E0615712|prepasteurization|noun|E0615711|yes
siliconise|verb|E0312552|siliconization|noun|E0312553|yes
stigmatise|verb|E0057936|stigmatization|noun|E0057935|yes
derivatise|verb|E0021906|derivatization|noun|E0333580|yes
lateralise|verb|E0218273|lateralization|noun|E0071211|yes
negativise|verb|E0539326|negativization|noun|E0539325|yes
colorise|verb|E0318298|colorization|noun|E0318297|yes
horizontalise|verb|E0585573|horizontalization|noun|E0585574|yes
patronise|verb|E0046012|patronization|noun|E0563098|yes
#=====================================================
# sed$|adj|zation$|noun|2017|NOM_D|SELF
# Total count: 130
#=====================================================
cuticularised|adj|E0206043|cuticularization|noun|E0203903|yes
de-institutionalised|adj|E0021332|de-institutionalization|noun|E0021330|yes
nonimmobilised|adj|E0563315|nonimmobilization|noun|E0608453|yes
non-standardised|adj|E0316844|non-standardization|noun|E0604702|yes
myelinised|adj|E0041583|myelinization|noun|E0041582|yes
paraffinised|adj|E0231989|paraffinization|noun|E0231991|yes
autosensitised|adj|E0011360|autosensitization|noun|E0423182|yes
hypervascularised|adj|E0539324|hypervascularization|noun|E0510021|yes
